"","site","group","ws_cms.mean","ws_mms.mean","ws_ms.mean"
"1","C1","C1a_grp01",1.14767000816152,11.4767000816152,0.0114767000816152
"2","C1","C1a_grp02",0.926850041211744,9.26850041211744,0.00926850041211744
"3","C1","C1a_grp03",0.734462255420945,7.34462255420945,0.00734462255420945
"4","C1","C1a_grp04",0.897994835844081,8.97994835844081,0.00897994835844081
"5","C1","C1a_grp05",1.04636486596467,10.4636486596467,0.0104636486596467
"6","C1","C1a_grp06",0.731693265267721,7.31693265267721,0.00731693265267721
"7","C1","C1a_grp07",0.179671137548343,1.79671137548343,0.00179671137548343
"8","C1","C1a_grp08",0.987070672478543,9.87070672478543,0.00987070672478543
"9","C1","C1a_grp09",0.368239560730174,3.68239560730174,0.00368239560730174
"10","C1","C1a_grp10",0.822547068950587,8.22547068950587,0.00822547068950587
"11","C1","C1a_grp11",1.19261976831486,11.9261976831486,0.0119261976831486
"12","C1","C1a_grp12",1.06876284525796,10.6876284525796,0.0106876284525796
"13","C1","C1a_grp13",0.878305251751275,8.78305251751275,0.00878305251751275
"14","C1","C1a_grp14",1.03685687079618,10.3685687079618,0.0103685687079618
"15","C1","C1a_grp15",1.38481848215836,13.8481848215836,0.0138481848215836
"16","C1","C1b_grp01",0.99173553719008,9.9173553719008,0.0099173553719008
"17","C1","C1b_grp02",0.0456708396146031,0.456708396146031,0.000456708396146031
"18","C1","C1b_grp03",0.565080942906075,5.65080942906075,0.00565080942906075
"19","C1","C1b_grp04",1.35549467510418,13.5549467510418,0.0135549467510418
"20","C1","C1b_grp05",1.0263908507062,10.263908507062,0.010263908507062
"21","C1","C1b_grp06",0.889342457102138,8.89342457102138,0.00889342457102137
"22","C1","C1b_grp07",0.616788063783777,6.16788063783777,0.00616788063783777
"23","C1","C1b_grp08",0.981698307277525,9.81698307277525,0.00981698307277525
"24","C1","C1b_grp09",1.00245173541298,10.0245173541298,0.0100245173541298
"25","C1","C1b_grp10",0.702164654117655,7.02164654117655,0.00702164654117655
"26","C1","C1b_grp11",0.164317817270091,1.64317817270091,0.00164317817270091
"27","C1","C1b_grp12",1.00316561399093,10.0316561399093,0.0100316561399093
"28","C1","C1b_grp13",1.00190305112928,10.0190305112928,0.0100190305112928
"29","C1","C1b_grp14",0.99893458198718,9.9893458198718,0.0099893458198718
"30","C1","C1b_grp15",1.03949326779802,10.3949326779802,0.0103949326779802
"31","C1","C1c_grp01",1.01389505881868,10.1389505881868,0.0101389505881868
"32","C1","C1c_grp02",0.655101224468797,6.55101224468797,0.00655101224468797
"33","C1","C1c_grp03",0.360978231493088,3.60978231493088,0.00360978231493088
"34","C1","C1c_grp04",0.166563810818784,1.66563810818784,0.00166563810818784
"35","C1","C1c_grp05",0.368739801961237,3.68739801961237,0.00368739801961237
"36","C1","C1c_grp06",0.691615323456696,6.91615323456696,0.00691615323456696
"37","C1","C1c_grp07",0.400901814420223,4.00901814420223,0.00400901814420223
"38","C1","C1c_grp08",0.937235722610722,9.37235722610722,0.00937235722610722
"39","C1","C1c_grp09",0.458065977526153,4.58065977526153,0.00458065977526153
"40","C1","C1c_grp10",0.644267070714356,6.44267070714356,0.00644267070714356
"41","C1","C1c_grp11",0.610291963675422,6.10291963675422,0.00610291963675422
"42","C1","C1c_grp12",0.609957279562542,6.09957279562542,0.00609957279562542
"43","C1","C1c_grp13",0.619337876100764,6.19337876100764,0.00619337876100764
"44","C1","C1c_grp14",0.228726007629334,2.28726007629334,0.00228726007629334
"45","C1","C1c_grp15",1.3692879784689,13.692879784689,0.013692879784689
"46","C2","C2a_grp01",1.07790313061014,10.7790313061014,0.0107790313061014
"47","C2","C2a_grp02",1.77227085449698,17.7227085449698,0.0177227085449698
"48","C2","C2a_grp03",0.863360755269643,8.63360755269643,0.00863360755269643
"49","C2","C2a_grp04",2.14121406913281,21.4121406913281,0.0214121406913281
"50","C2","C2a_grp05",1.68076491086752,16.8076491086752,0.0168076491086752
"51","C2","C2a_grp06",1.51265768649491,15.1265768649491,0.0151265768649491
"52","C2","C2a_grp07",2.07363466610403,20.7363466610403,0.0207363466610403
"53","C2","C2a_grp08",1.467101973169,14.67101973169,0.01467101973169
"54","C2","C2a_grp09",0.739838121668395,7.39838121668395,0.00739838121668395
"55","C2","C2a_grp10",1.63743759131809,16.3743759131809,0.0163743759131809
"56","C2","C2a_grp11",0.408072914251712,4.08072914251712,0.00408072914251712
"57","C2","C2a_grp12",1.16183241466736,11.6183241466736,0.0116183241466736
"58","C2","C2a_grp13",2.34109304777054,23.4109304777054,0.0234109304777054
"59","C2","C2a_grp14",1.95812116573162,19.5812116573162,0.0195812116573162
"60","C2","C2a_grp15",1.38925223951311,13.8925223951311,0.0138925223951311
"61","C2","C2b_grp03",1.32249960961918,13.2249960961918,0.0132249960961918
"62","C2","C2b_grp04",2.14799847056623,21.4799847056623,0.0214799847056623
"63","C2","C2b_grp05",1.80903944231473,18.0903944231473,0.0180903944231473
"64","C2","C2b_grp06",1.21526583218245,12.1526583218245,0.0121526583218245
"65","C2","C2b_grp07",1.87000943389404,18.7000943389404,0.0187000943389404
"66","C2","C2b_grp08",1.70109719295412,17.0109719295412,0.0170109719295412
"67","C2","C2b_grp09",2.02187352572184,20.2187352572184,0.0202187352572184
"68","C2","C2b_grp10",2.27611117213009,22.7611117213009,0.0227611117213009
"69","C2","C2b_grp11",2.36904314595358,23.6904314595358,0.0236904314595358
"70","C2","C2b_grp12",2.5259641147815,25.259641147815,0.025259641147815
"71","C2","C2b_grp13",0.488830216948659,4.88830216948659,0.00488830216948659
